source	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	translation
											
odevme	odevme	odi	оди	Vmia1pi		1	1	0	root		We went like that.
taka	taka	taka	така	R		1	2	1	advmod		
na	na	na	на	Sa		1	3	1	orph		
											
i	i	i	и	C		2	1	9	cc		And then, that time I really like.
togaš	togaš	togaš	тогаш	R		2	2	9	advmod		
toa	toa	toa	тоа	Pd-nsn		2	3	5	det	ext	
to	to	toa	тоа	Pd-nsn		2	4	5	rep	ext	
vreme	vreme	vreme	време	Nnsnn		2	5	9	nsubj		
mnogu	mnogu	mnogu	многу	R		2	6	9	advmod		
mi	mi	јas	јас	Pp1-sd		2	7	9	obl	iobj	
se	se	se	се	Px---a		2	8	9	expl		
dopaѓat	dopaѓat	dopaѓa	допаѓа	Vmip3si		2	9	0	root		
											
i	i	i	и	C		3	1	4	cc		And there we had a really nice friendship with all the children.
tamu	tamu	tamu	таму	R		3	2	4	advmod		
družba	družba	družba	дружба	Nfsnn		3	3	4	obj		
imavme	imavme	ima	има	Vmii1pi		3	4	0	root		
mnogu	mnogu	mnogu	многу	R		3	5	4	advmod		
ubava	ubava	ubav	убав	Afsn		3	6	3	amod		
so	so	so	со	S		3	7	9	case		
site	site	siot	сиот	A-pn		3	8	9	amod		
deca	deca	dete	дете	Nnpny		3	9	4	obl		
											
se	se	se	се	Px---a		4	1	2	expl		We hang out, ate.
druževme	druževme	druži	дружи	Vmii1pi		4	2	0	root		
jadevme	jadevme	јade	јаде	Vmii1pi		4	3	2	conj		
											
па	pa	pa	па	C		5	1	4	cc		So they would prepare us the food.
ќе	ќe	ќe	ќе	Vaip		5	2	4	aux	hab	
ни	ni	nie	ние	Pp1-pd		5	3	4	obl	iobj	
напраеја	napraeјa	napravi	направи	Vmia3pe		5	4	0	root		
јадење+	јadenje+	јadenje	јадење	Nnsnn		5	5	4	obj		
то	to	toј	тој	Pd-nsn		5	6	5	det	p_nom	
											
nie	nie	nie	ние	Pp1-pn		6	1	7	nsubj		We at home could not eat it.
doma	doma	doma	дома	R		6	2	7	advmod		
ne	ne	ne	не	Qz		6	3	4	advmod		
moževme	moževme	može	може	Vaii1pi		6	4	7	aux		
da	da	da	da	C		6	5	4	fixed	inf	
go	go	toa	тоа	Pp3nsa		6	6	7	obj		
jadime	jadime	јade	јаде	Vmip1pi		6	7	0	root		
,	,			Z		6	8	7	punct		
											
mnogu	mnogu	mnogu	многу	R		7	1	4	advmod		We really liked the food there.
ni	ni	nie	ние	Pp1-pn		7	2	4	obl	iobj	
se	se	se	се	Px---a		7	3	4	expl		
bendisvaše	bendisvaše	bendisuva	бендисува	Vmii3si		7	4	0	root		
jadenje+	jadenje+	јadenje	јадење	Nnsnn		7	5	4	nsubj		
to	to	toj	тоj	Pd-nsn		7	6	5	det	p_nom	
tamu	tamu	tamu	таму	R		7	7	4	advmod		
,	,	,	,	Z		7	8	4	punct		
											
ko	ko	koga	кога	Pq		8	1	3	mark		When we would sit to eat meat,
ќe	ќe	ќe	ќе	Vaip		8	2	3	aux	hab	
sednevme	sednevme	sedne	седне	Vmii1pe		8	3	0	root		
da	da	da	да	C		8	4	5	fixed	inf	
ručame	ručame	ruča	руча	Vmip1pi		8	5	3	xcomp		
meso	meso	meso	месо	Nmsnn		8	6	5	obj		
											
ќe	ќe	ќe	ќе	Vaip		9	1	2	aux	hab	There would have been some richer meal.
imaše	imaše	ima	има	Vmii3si		9	2	0	root		
nešto	nešto	nešto	нешто	Pi		9	3	2	obj		
taka	taka	taka	така	R		9	4	7	advmod		
po+	po+	po	po	Qc		9	5	6	advmod		
bogato	bogato	bogat	богат	Ansn		9	6	7	amod		
jadejne	jadejne	јadenje	јадење	Nnsnn		9	7	2	conj		
											
i	i	i	и	C		10	1	5	cc		And we liked that a lot.
to	to	toa	тоа	Pp3nsn		10	2	5	nsubj		
ni	ni	nie	ние	Pp1-pd		10	3	5	obl	iobj	
se	se	se	се	Px---a		10	4	5	expl		
bendisveše	bendisveše	bendisuva	бендисува	Vmii3si		10	5	0	root		
mnogu	mnogu	mnogu	многу	R		10	6	5	advmod		
.	.			Z		10	7	5	punct		
											
da	da	da	да	Q		11	1	8	discourse		Yes, from the childhood I remember really well.
od	od	od	од	Sg		11	2	3	case		
detstvo+	detstvo+	detstvo	детство	Nnsnn		11	3	8	obl		
to	to	toј	тој	Pd-nsn		11	4	3	det		
mnogu	mnogu	mnogu	многу	R		11	5	6	advmod		
dobro	dobro	dobro	добро	R		11	6	8	advmod		
se	se	se	се	Px---a		11	7	8	expl		
seќavam	seќavam	seќava	сеќава	Vmip1si		11	8	0	root		
,	,			Z		11	9	8	punct		
											
поминав	pominav	pomine	помине	Vmia1sе		12	1	0	root		I had a really nice childhood.
многу	mnogu	mnogu	многу	R		12	2	3	advmod		
убо	ubo	ubavo	убаво	Ansn		12	3	4	amod		
детство	detstvo	detstvo	детство	Nnsnn		12	4	1	obj		
,	,			Z		12	5	1	punct		
											
се	se	se	се	Px---a		13	1	2	expl		We had friendship with all of the children.
дружевме	druževme	druži	дружи	Vmia1pi		13	2	0	root		
со	so	so	со	S		13	3	5	case		
сите	site	siot	сиот	A-pn		13	4	5	amod		
деца	deca	dete	дете	Nnpn		13	5	2	obl		
,	,			Z		13	6	2	punct		
											
во	vo	vo	во	S		14	1	2	case		In the village where we lived, there were many children.
мала+	mala+	maalo	маало	Nnpnn		14	2	8	obl		
та	ta	toa	тоа	Pd-npn		14	3	2	det	p_nom	
кај	kaј	kade	каде	Pq		14	4	6	mark		
шо	šo	što	што	Pr		14	5	6	mark		
живеевме	živeevme	živee	живее	Vmia1pi		14	6	2	acl		
,	,			Z		14	7	6	punct		
имаше	imaše	ima	има	Vmii3si		14	8	0	root		
многу	mnogu	mnogu	многу	R		14	9	8	advmod		
деца	deca	dete	дете	Nnpn		14	10	8	obj		
,	,			Z		14	11	8	punct		
											
живеевме	živeevme	živee	живее	Vmii1pi		15	1	0	root		We lived freely.
слободно	slobodno	slobodno	слободно	R		15	2	1	advmod		
,	,			Z		15	3	1	punct		
											
не	ne	ne	не	Qz		16	1	3	advmod		We were not afraid of anything.
се	se	se	се	Px---a		16	2	3	expl		
плашевме	plaševme	plaši	плаши	Vmii1pi		16	3	0	root		
од	od	od	од	S		16	4	5	case		
ништо	ništo	ništo	ништо	Pz		16	5	3	obl		
.	.			Z		16	6	3	punct		
											
ко	ko	kako	како	Pq		17	1	2	case		Like nowadays, for example, they go and steal children.
денеска	deneska	deneska	денеска	R		17	2	5	advmod		
на	na	na	на	S		17	3	4	case		
пример	primer	primer	пример	Nmsnn		17	4	5	obl		
одат	odat	odi	оди	Vmip3pi		17	5	0	root		
крадат	kradat	kradi	кради	Vmip3pi		17	6	5	conj		
деца	deca	dete	дете	Nnpny		17	7	6	obj		
,	,			Z		17	8	5	punct		
											
ги	gi	tie	тие	Pp3-pa		18	1	2	obj		They sell them and all that stuff.
продаваат	prodavaat	prodava	продава	Vmip3pi		18	2	0	root		
и	i	i	и	C		18	3	2	cc		
сите	site	siot	сиот	A-pn		18	4	6	amod		
тие	tie	tie	тие	Pd3-pn		18	5	6	det	ext	
работи	raboti	rabota	работа	Nfpnn		18	6	2	conj		
,	,			Z		18	7	2	punct		
											
значи	znači	znači	значи	Qo		19	1	3	discourse		So there were no such things before.
порано	porano	porano	порано	R		19	2	3	advmod		
немаше	nemaše	nema	нема	Vmii3si		19	3	0	root		
такви	takvi	takov	таков	A-pn		19	4	5	amod		
работи	raboti	rabota	работа	Nfpnn		19	5	3	obj		
.	.			Z		19	6	3	punct		
											
детство+	detstvo+	detstvo	детство	Nnsnn		20	1	4	nsubj		Our childhood was very nice.
то	to	toa	тоa	Pd-nsn		20	2	1	det	p_nom	
ни	ni	nie	ние	Pp1-pd		20	3	4	nmod	poss	
беше	beše	beše	беше	Vmii3si		20	4	6	cop		
многу	mnogu	mnogu	многу	R		20	5	6	advmod		
убо	ubo	ubav	убав	Ansn		20	6	0	root		
.	.			Z		20	7	6	punct		
											
игравме	igravme	igra	игра	Vmii1pi		21	1	0	root		We played different games.
разни	razni	razen	разен	A-pn		21	2	3	amod		
игри	igri	igra	игра	Nfpnn		21	3	1	obj		
,	,			Z		21	4	1	punct		
											
се	se	se	се	Px---а		22	1	2	expl		We hang out, went to the lake.
дружевме	druževme	druži	дружи	Vmii1pi		22	2	0	root		
одевме	odevme	odi	оди	Vmii1pi		22	3	2	conj		
на	na	na	на	S		22	4	5	case		
езеро	ezero	ezero	езеро	Nnsnn		22	5	3	obl	lat	
,	,			Z		22	6	2	punct		
											
овде	ovde	ovde	овде	R		23	1	2	advmod		Here we have a lake, the Lake Prespa.
имаме	imame	ima	има	Vmip1pi		23	2	0	root		
езеро	ezero	ezero	езеро	Nnsnn		23	3	2	obj		
,	,			Z		23	4	2	punct		
преспанско+	prespansko+	Prespansko	Преспанско	Ansn		23	5	7	amod		
то	to	toј	тој	Pd-nsn		23	6	5	det	p_adj	
езеро	ezero	ezero	езеро	Nnsnn		23	7	3	appos		
.	.					23	8	2	punct		
											
па	pa	pa	па	C		24	1	4	cc		So the mothers would gather.
ќе	ќe	ќe	ќе	Vaip		24	2	4	aux	hab	
се	se	se	се	Px---а		24	3	4	expl		
собереа	soberea	sobere	собере	Vmii3pe		24	4	0	root		
мајки+	maјki+	maјka	мајка	Nfpny		24	5	4	nsubj		
те	te	tie	тие	Pd--pn		24	6	5	det		
											
ќе	ќe	ќe	ќе	Vaip		25	1	3	aux	hab	They would make us meal.
ни	ni	nie	ние	Pp1-pd		25	2	3	obl	iobj	
напраеа	napraea	napravi	направи	Vmii3pe		25	3	0	root		
јадење	јadenje	јadenje	јадење	Nnsnn		25	4	3	obj		
											
и	i	i	и	C		26	1	2	cc		And all of us together with our mothers would enter one bus
ние	nie	nie	ние	Pp1-pn		26	2	10	nsubj		
сите	site	siot	сиот	Pi--pn		26	3	2	appos		
заедно	zaedno	zaedno	заедно	R		26	4	10	advmod		
со	so	so	со	S		26	5	8	case		
наши+	naši+	naši	наши	A-py		26	6	8	amod		
те	te	tie	тие	Pd--pn		26	7	6	det	p_adj	
мајки	maјki	maјka	мајка	Nfpny		26	8	10	obl		
ќе	ќe	ќe	ќе	Vaip		26	9	10	aux	hab	
влезевме	vlezevme	vleze	влезе	Vmii1pe		26	10	0	root		
во	vo	vo	во	S		26	11	13	case		
еден	eden	eden	еден	Pi-msn		26	12	13	det		
автобус	avtobus	avtobus	автобус	Nmsnn		26	13	10	obl		
											
и	i	i	и	C		27	1	2	cc		And we went to the lake to swim
одевме	odevme	odi	оди	Vmii1pi		27	2	0	root		
на	na	na	на	S		27	3	4	case		
езеро	ezero	ezero	езеро	Nnsnn		27	4	2	obl		
да	da	da	да	C		27	5	7	fixed	inf	
се	se	se	се	Px---а		27	6	7	expl		
капиме	kapime	kape	капе	Vmip1pi		27	7	2	xcomp		
.	.			Z		27	8	2	punct		
											
да	da	da	да	C		28	1	3	fixed	inf	To swim.
се	se	se	се	Px---а		28	2	3	expl		
капиме	kapime	kape	капе	Vmip1pi		28	3	0	root		
.	.			Z		28	4	3	punct		
											
шетавме	šetavme	šeta	шета	Vmii1pi		29	1	0	root		We walked.
,	,			Z		29	2	1	punct		
											
после	posle	posle	после	R		30	1	9	advmod		Then where we were going, by the lake, there were many springs.
таму	tamu	tamu	таму	R		30	2	9	advmod		
кај	kaј	kade	каде	Pq	R	30	3	5	mark		
шо	šo	što	што	Pr		30	4	5	mark		
одевме	odevme	odi	оди	Vmii1pi		30	5	2	acl		
кај	kaј	kaј	кај	S		30	6	7	case		
езеро+	ezero+	ezero	езеро	Nnsnn		30	7	9	obl		
то	to	toј	тој	Pd-nsn		30	8	7	det	p_nom	
имаше	imaše	ima	има	Vmii3si		30	9	0	root		
многу	mnogu	mnogu	многу	R		30	10	9	advmod		
извори	izvori	izvor	извор	Nmpnn		30	11	9	obj		
											
течеа	tečea	teče	тече	Vmii3pi		31	1	0	root		The spring flowed, water.
извори	izvori	izvor	извор	Nmpnn		31	2	1	nsubj		
,	,			Z		31	3	1	punct		
вода	voda	voda	вода	Nfsnn		31	4	2	appos		
,	,			Z		31	5	1	punct		
											
одевме	odevme	odi	оди	Vmii1pi		32	1	0	root		We went and filled water.
,	,			Z		32	2	1	punct		
полневме	polnevme	polni	полни	Vmii1pi		32	3	1	conj		
вода	voda	voda	вода	Nfsnn		32	4	3	obj		
,	,			Z		32	5	3	punct		
											
па	pa	pa	па	C		33	1	5	cc		Then we would return.
после	posle	posle	после	R		33	2	5	advmod		
ќе	ќe	ќe	ќе	Vaip		33	3	5	aux	hab	
се	se	se	се	Px---а		33	4	5	expl		
вратевме	vratevme	vrati	врати	Vmii1pe		33	5	0	root		
,	,			Z		33	6	5	punct		
											
ќе	ќe	ќe	ќе	Vaip		34	1	3	aux	hab	We would return.
са	sa	se	се	Px---a		34	2	3	expl		
вратевме	vratevme	vrati	врати	Vmii1pe		34	3	0	root		
,	,			Z		34	4	3	punct		
											
ќе	ќe	ќe	ќе	Vaip		35	1	2	aux	hab	All of us would sit on the beach,
седневме	sednevme	sedne	седне	Vmii1pe		35	2	0	root		
сите	site	siot	сиот	Pi--pn		35	3	2	nsubj		
на	na	na	на	S		35	4	5	case		
плажа+	plaža+	plaža	плажа	Nfsnn		35	5	2	obl		
та	ta	toј	тој	Pd-fsn		35	6	5	det	p_nom	
,	,			Z		35	7	2	punct		
											
кај	kaј	kaј	кај	S		36	1	2	case		near the sand to eat.
песок+	pesok+	pesok	песок	Nmsnn		36	2	5	obl		
от	ot	toј	тој	Pd-msn		36	3	2	det	p_nom	
да	da	da	да	C		36	4	5	fixed	inf	
јајме	јaјme	јade	јаде	Vmip1pi		36	5	0	root		
,	,			Z		36	6	5	punct		
											
многу	mnogu	mnogu	многу	R		37	1	3	advmod		We were very happy, fulfilled.
бевме	bevme	e	е	Vmii1pi		37	2	3	cop		
радосни	radosni	radosen	радосен	A-pn		37	3	0	root		
задоволни	zadovolni	zadovolen	задоволен	A-pn		37	4	3	conj		
.	.			Z		37	5	3	punct		
											
